Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
Bachelors,Computer Science,6,3.91,79,"Operating Systems, Algorithms, Data Structures","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,Operating Systems,34,Male,State University,5,3.9
Bachelors,Computer Science,8,3.43,58,"Data Structures, Artificial Intelligence, Machine Learning, Algorithms","Cloud Innovations in Computer Science, Data Science in Computer Science","Cybersecurity, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,Operating Systems,30,Male,Private University,4,4.0
Bachelors,Computer Science,2,3.78,69,"Algorithms, Data Science","Data Science in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science","Cybersecurity, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Software Engineering, Data Science",35,Non-Binary,State University,3,3.2
Bachelors,Computer Science,3,3.11,58,"Cybersecurity, Data Science, Software Engineering","Cloud Innovations in Computer Science, AI in Computer Science","Machine Learning, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Cybersecurity, Data Science",25,Non-Binary,Open University,2,3.0
PhD,Information Technology,19,3.36,84,"IT Project Management, Database Systems",Data Science in Information Technology,"Web Development, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Database Systems, IoT",63,Female,State University,22,3.2
Bachelors,Computer Science,3,3.76,80,"Operating Systems, Algorithms, Software Engineering","Cybersecurity Trends in Computer Science, Data Science in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Algorithms,38,Non-Binary,Private University,5,3.2
Bachelors,Information Technology,9,3.1999999999999997,57,"Big Data, Cloud Computing, Web Development","Cloud Innovations in Information Technology, Data Science in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Database Systems, IT Project Management",37,Male,Open University,3,3.2
PhD,Computer Science,28,3.74,91,"Artificial Intelligence, Software Engineering, Data Structures, Data Science","Cybersecurity Trends in Computer Science, AI in Computer Science, Data Science in Computer Science","Machine Learning, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,"Machine Learning, Software Engineering",63,Non-Binary,Private University,12,3.6
PhD,Computer Science,30,4.0,78,"Artificial Intelligence, Cybersecurity, Data Structures","Data Science in Computer Science, Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,"Artificial Intelligence, Data Structures",89,Male,Private University,8,4.0
PhD,Information Technology,27,3.85,95,"Cloud Computing, Web Development, IT Project Management, Blockchain","Cloud Innovations in Information Technology, AI in Information Technology","Cloud Computing, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Big Data, IoT",78,Male,Private University,27,4.0
Masters,Information Technology,17,3.2800000000000002,76,"Network Security, IT Project Management, IoT, Big Data","Cybersecurity Trends in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,"Network Security, IT Project Management",49,Non-Binary,Community College,3,3.9
Masters,Information Technology,7,3.68,85,"Blockchain, Database Systems","Data Science in Information Technology, Cloud Innovations in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,"Cloud Computing, Blockchain",36,Non-Binary,Community College,7,4.5
Bachelors,Information Technology,6,3.92,62,"Network Security, Database Systems, Big Data, IoT","Cybersecurity Trends in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology",Web Development,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Cloud Computing, IoT",32,Male,Open University,2,4.7
Masters,Computer Science,14,3.56,84,"Data Science, Algorithms, Artificial Intelligence, Machine Learning","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Algorithms, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Artificial Intelligence,49,Female,Private University,15,4.2
Bachelors,Information Technology,5,3.7,52,"IoT, Web Development","Cybersecurity Trends in Information Technology, AI in Information Technology, Data Science in Information Technology","Web Development, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Big Data,40,Male,State University,5,3.2
Masters,Computer Science,7,3.33,81,"Operating Systems, Data Science, Artificial Intelligence",Cybersecurity Trends in Computer Science,"Cybersecurity, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,Algorithms,46,Non-Binary,Open University,15,3.5
Bachelors,Information Technology,4,3.3,57,"IT Project Management, Blockchain, Network Security, Cloud Computing","Data Science in Information Technology, Cloud Innovations in Information Technology, AI in Information Technology","IoT, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Database Systems,38,Non-Binary,Private University,5,3.4
Masters,Information Technology,13,4.0,97,"Database Systems, Web Development","Data Science in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology","Database Systems, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,IT Project Management,38,Male,Community College,5,3.8
Bachelors,Information Technology,5,3.51,82,"Database Systems, IoT, Big Data, Network Security","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Database Systems, Blockchain",28,Male,Private University,5,3.3
Masters,Information Technology,11,4.0,76,"Web Development, Network Security, Database Systems",Cloud Innovations in Information Technology,Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"IT Project Management, Web Development",42,Female,Private University,8,4.5
Masters,Computer Science,19,4.0,75,"Data Structures, Data Science",Cybersecurity Trends in Computer Science,Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,Algorithms,63,Non-Binary,Open University,2,3.9
Masters,Computer Science,20,4.0,89,"Machine Learning, Operating Systems",AI in Computer Science,"Software Engineering, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Operating Systems, Data Science",57,Male,Open University,2,4.4
PhD,Information Technology,12,3.78,98,"IoT, Big Data","Data Science in Information Technology, Cybersecurity Trends in Information Technology",Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,IT Project Management,48,Non-Binary,Private University,27,4.7
Masters,Information Technology,7,4.0,62,"Database Systems, IoT, Blockchain, IT Project Management","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology","Big Data, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Blockchain,35,Non-Binary,Open University,9,4.0
Masters,Computer Science,6,3.73,94,"Machine Learning, Algorithms, Cybersecurity","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science, Data Science in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Cybersecurity,47,Non-Binary,State University,10,4.2
Bachelors,Information Technology,6,4.0,71,"Database Systems, Network Security, Blockchain",AI in Information Technology,"IT Project Management, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Network Security,30,Female,Community College,0,4.9
Masters,Computer Science,17,3.4299999999999997,67,"Algorithms, Cybersecurity","Cloud Innovations in Computer Science, AI in Computer Science","Software Engineering, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Operating Systems, Algorithms",50,Non-Binary,State University,1,3.3
PhD,Computer Science,28,4.0,63,"Artificial Intelligence, Algorithms","Data Science in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Software Engineering, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Data Structures, Algorithms",84,Female,Open University,28,3.6
Bachelors,Information Technology,1,3.0,68,"Blockchain, Network Security, IoT, Big Data","Cloud Innovations in Information Technology, AI in Information Technology, Data Science in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,IT Project Management,36,Non-Binary,Private University,0,3.9
Masters,Information Technology,16,3.38,61,"Blockchain, Big Data, Web Development",Cybersecurity Trends in Information Technology,"Big Data, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Cloud Computing,54,Non-Binary,Private University,9,4.4
Masters,Computer Science,5,2.9299999999999997,65,"Algorithms, Machine Learning, Software Engineering, Cybersecurity",Cloud Innovations in Computer Science,Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Cybersecurity,47,Female,Community College,11,3.2
Bachelors,Computer Science,3,3.46,61,"Data Science, Operating Systems","Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Operating Systems, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Machine Learning, Software Engineering",33,Non-Binary,Private University,1,4.7
PhD,Information Technology,30,3.9800000000000004,99,"Network Security, Web Development",Cybersecurity Trends in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Lecture-based,Blockchain,76,Non-Binary,Community College,24,3.6
PhD,Computer Science,25,4.0,99,"Software Engineering, Artificial Intelligence","Data Science in Computer Science, Cloud Innovations in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Operating Systems, Software Engineering",65,Non-Binary,Community College,8,3.4
Masters,Information Technology,19,3.29,66,"Network Security, IoT","Data Science in Information Technology, AI in Information Technology","Cloud Computing, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Database Systems, IoT",54,Non-Binary,Private University,12,3.7
PhD,Computer Science,22,3.78,69,"Operating Systems, Algorithms, Cybersecurity",Cybersecurity Trends in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Data Structures, Data Science",61,Male,Private University,28,4.7
Masters,Information Technology,15,4.0,88,"Web Development, Database Systems, Network Security","Cybersecurity Trends in Information Technology, AI in Information Technology","Web Development, Database Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Web Development,53,Male,Community College,8,3.9
PhD,Information Technology,15,3.5599999999999996,76,"Network Security, Blockchain, Database Systems","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Database Systems,67,Male,Open University,11,4.4
Bachelors,Information Technology,5,3.2199999999999998,59,"IoT, Cloud Computing, Web Development, Database Systems","Cybersecurity Trends in Information Technology, AI in Information Technology","IT Project Management, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Blockchain, Network Security",30,Male,Private University,2,3.3
PhD,Information Technology,18,3.52,65,"Web Development, Network Security, Cloud Computing, IoT","Cloud Innovations in Information Technology, Data Science in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Web Development,74,Female,Private University,21,3.8
PhD,Information Technology,26,3.79,65,"Blockchain, Database Systems",AI in Information Technology,Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Network Security, Web Development",73,Female,Private University,20,4.1
